,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type
10,PG1000,La Divina Commedia di Dante: Complete,Dante Alighieri,1265.0,1321.0,['it'],303,"{'Italian poetry -- To 1400', 'Epic poetry, Italian'}",
44,PG10040,"Aleutian Indian and English Dictionary: Common Words in the Dialects of the Aleutian Indian Language as Spoken by the Oogashik, Egashik, Anangashuk and Misremie Tribes Around Sulima River and Neighboring Parts of the Alaska Peninsula","Lee, Charles A.",,,"['en', 'ale']",33,"{'English language -- Dictionaries -- Aleut', 'Aleut language -- Dictionaries -- English'}",
58,PG10053,La vampire,"Féval, Paul",1817.0,1887.0,['fr'],69,{'Vampires -- Fiction'},
59,PG10054,Nova analysis aquarum Medeviensium,"Berzelius, Jöns Jakob, friherre",1779.0,1848.0,['la'],7,{'Mineral waters -- Sweden'},
60,PG10055,Hamburgische Dramaturgie,"Lessing, Gotthold Ephraim",1729.0,1781.0,['de'],47,"{'Drama -- Technique', 'Aristotle, 384 BC-322 BC. Poetics'}",
67,PG10061,Les Heures Claires,"Verhaeren, Emile",1855.0,1916.0,['fr'],42,{'Belgian poetry (French)'},
109,PG1009,La Divina Commedia di Dante: Inferno,Dante Alighieri,1265.0,1321.0,['it'],56,"{'Hell -- Poetry', 'Italian poetry -- To 1400', 'Epic poetry, Italian'}",
121,PG1010,La Divina Commedia di Dante: Purgatorio,Dante Alighieri,1265.0,1321.0,['it'],17,"{'Hell -- Poetry', 'Italian poetry -- To 1400', 'Epic poetry, Italian'}",
125,PG10113,"De mannen van '80 aan het woord: Een onderzoek vaar eenige beginselen van de ""Nieuwe-Gids""-school.","D'Oliveira, E. (Elias)",1886.0,1944.0,['nl'],5,{'Dutch literature -- 19th century -- History and criticism'},
129,PG10117,Den siste Atenaren,"Rydberg, Viktor",1828.0,1895.0,['sv'],20,"{'Swedish fiction', 'Church history -- Primitive and early church, ca. 30-600 -- Fiction', 'Christian fiction'}",
132,PG1011,La Divina Commedia di Dante: Paradiso,Dante Alighieri,1265.0,1321.0,['it'],40,"{'Italian poetry -- To 1400', 'Epic poetry, Italian'}",
143,PG1012,La Divina Commedia di Dante,Dante Alighieri,1265.0,1321.0,['it'],489,"{'Italian poetry -- To 1400', 'Epic poetry, Italian'}",
172,PG10156,M'appari - Martha,,,,['it'],23,{'Operas -- Excerpts'},Sound
177,PG10160,Pierre Nozière,"France, Anatole",1844.0,1924.0,['fr'],8,{'French fiction'},
